id,cluster
uid-1,3
uid-2,1
uid-3,1
uid-4,2
uid-5,1
uid-6,1
uid-7,2
uid-8,2
uid-9,2
uid-10,1
uid-11,3
uid-12,1
uid-13,1
uid-14,1
uid-15,1
uid-16,2
uid-17,1
uid-18,1
uid-19,1
uid-20,2
uid-21,2
uid-22,2
uid-23,2
uid-24,2
uid-25,1
uid-26,1
uid-27,2
uid-28,2
uid-29,2
uid-30,2
uid-31,1
uid-32,3
uid-33,3
uid-34,2
uid-35,1
uid-36,3
uid-37,2
uid-38,1
uid-39,2
uid-40,2
uid-41,1
uid-42,2
uid-43,2
uid-44,2
uid-45,1
uid-46,1
uid-47,3
uid-48,2
uid-49,1
uid-50,1
uid-51,1
uid-52,2
uid-53,1
uid-54,1
uid-55,1
uid-56,2
uid-57,3
uid-58,1
uid-59,1
uid-60,2
uid-61,2
uid-62,3
uid-63,3
uid-64,2
uid-65,2
uid-66,1
uid-67,3
uid-68,2
uid-69,2
uid-70,1
uid-71,2
uid-72,1
uid-73,1
uid-74,1
uid-75,1
uid-76,2
uid-77,1
uid-78,1
uid-79,1
uid-80,3
uid-81,2
uid-82,2
uid-83,1
uid-84,2
uid-85,2
uid-86,1
uid-87,2
uid-88,2
uid-89,2
uid-90,2
uid-91,3
uid-92,2
uid-93,2
uid-94,1
uid-95,2
uid-96,1
uid-97,2
uid-98,1
uid-99,2
uid-100,3
uid-101,3
uid-102,2
uid-103,2
uid-104,1
uid-105,1
uid-106,1
uid-107,3
uid-108,1
uid-109,2
uid-110,2
uid-111,1
uid-112,3
uid-113,1
uid-114,3
uid-115,3
uid-116,2
uid-117,2
uid-118,2
uid-119,2
uid-120,2
uid-121,1
uid-122,2
uid-123,3
uid-124,1
uid-125,2
uid-126,1
uid-127,3
uid-128,2
uid-129,2
uid-130,1
uid-131,1
uid-132,1
uid-133,2
uid-134,2
uid-135,1
uid-136,1
uid-137,2
uid-138,2
uid-139,1
uid-140,1
uid-141,1
uid-142,2
uid-143,2
uid-144,3
uid-145,3
uid-146,2
uid-147,2
uid-148,3
uid-149,2
uid-150,1
uid-151,2
uid-152,2
uid-153,1
uid-154,1
uid-155,3
uid-156,3
uid-157,1
uid-158,2
uid-159,1
uid-160,1
uid-161,2
uid-162,3
uid-163,2
uid-164,1
uid-165,1
uid-166,2
uid-167,1
uid-168,2
uid-169,2
uid-170,3
uid-171,1
uid-172,2
uid-173,1
uid-174,2
uid-175,1
uid-176,2
uid-177,1
uid-178,1
uid-179,3
uid-180,2
uid-181,2
uid-182,2
uid-183,2
uid-184,1
uid-185,1
uid-186,1
uid-187,2
uid-188,2
uid-189,2
uid-190,2
uid-191,1
uid-192,1
uid-193,1
uid-194,2
uid-195,1
uid-196,2
uid-197,2
uid-198,2
uid-199,3
uid-200,2
uid-201,2
uid-202,1
uid-203,2
uid-204,1
uid-205,3
uid-206,3
uid-207,2
uid-208,2
uid-209,2
uid-210,2
uid-211,1
uid-212,1
uid-213,2
uid-214,2
uid-215,1
uid-216,1
uid-217,1
uid-218,2
uid-219,2
uid-220,2
uid-221,2
uid-222,2
uid-223,1
uid-224,3
uid-225,1
uid-226,1
uid-227,2
uid-228,2
uid-229,1
uid-230,2
uid-231,2
uid-232,3
uid-233,1
uid-234,1
uid-235,3
uid-236,1
uid-237,1
uid-238,2
uid-239,2
uid-240,2
uid-241,2
uid-242,1
uid-243,2
uid-244,2
uid-245,2
uid-246,1
uid-247,2
uid-248,3
uid-249,2
uid-250,2
uid-251,2
uid-252,2
uid-253,1
uid-254,1
uid-255,1
uid-256,1
uid-257,2
uid-258,1
uid-259,2
uid-260,1
uid-261,1
uid-262,2
uid-263,1
uid-264,1
uid-265,2
uid-266,1
uid-267,2
uid-268,3
uid-269,2
uid-270,3
uid-271,2
uid-272,3
uid-273,1
uid-274,2
uid-275,1
uid-276,2
uid-277,2
uid-278,2
uid-279,2
uid-280,1
uid-281,2
uid-282,2
uid-283,1
uid-284,1
uid-285,1
uid-286,2
uid-287,2
uid-288,1
uid-289,1
uid-290,2
uid-291,1
uid-292,1
uid-293,2
uid-294,1
uid-295,3
uid-296,2
uid-297,1
uid-298,2
uid-299,1
uid-300,2
uid-301,1
uid-302,2
uid-303,1
uid-304,3
uid-305,2
uid-306,2
uid-307,2
uid-308,3
uid-309,1
uid-310,1
uid-311,1
uid-312,1
uid-313,3
uid-314,1
uid-315,1
uid-316,1
uid-317,3
uid-318,2
uid-319,2
uid-320,1
uid-321,1
uid-322,3
uid-323,3
uid-324,3
uid-325,2
uid-326,1
uid-327,3
uid-328,2
uid-329,2
uid-330,2
uid-331,1
uid-332,2
uid-333,2
uid-334,3
uid-335,1
uid-336,2
uid-337,2
uid-338,2
uid-339,2
uid-340,1
uid-341,1
uid-342,1
uid-343,2
uid-344,3
uid-345,1
uid-346,2
uid-347,2
uid-348,2
uid-349,1
uid-350,2
uid-351,1
uid-352,2
uid-353,2
uid-354,3
uid-355,3
uid-356,2
uid-357,1
uid-358,2
uid-359,2
uid-360,1
uid-361,3
uid-362,2
uid-363,2
uid-364,2
uid-365,2
uid-366,3
uid-367,2
uid-368,1
uid-369,3
uid-370,1
uid-371,1
uid-372,3
uid-373,1
uid-374,3
uid-375,2
uid-376,2
uid-377,2
uid-378,2
uid-379,3
uid-380,2
uid-381,1
uid-382,1
uid-383,1
uid-384,2
uid-385,1
uid-386,3
uid-387,2
uid-388,3
uid-389,2
uid-390,1
uid-391,3
uid-392,2
uid-393,1
uid-394,2
uid-395,2
uid-396,2
uid-397,3
uid-398,2
uid-399,2
uid-400,3
uid-401,1
uid-402,2
uid-403,2
uid-404,2
uid-405,2
uid-406,2
uid-407,2
uid-408,2
uid-409,3
uid-410,1
uid-411,2
uid-412,2
uid-413,1
uid-414,2
uid-415,2
uid-416,1
uid-417,1
uid-418,3
uid-419,2
uid-420,2
uid-421,2
uid-422,1
uid-423,2
uid-424,1
uid-425,3
uid-426,2
uid-427,2
uid-428,3
uid-429,1
uid-430,2
uid-431,3
uid-432,2
uid-433,2
uid-434,2
uid-435,2
uid-436,3
uid-437,2
uid-438,2
uid-439,2
uid-440,1
uid-441,3
uid-442,2
uid-443,2
uid-444,1
uid-445,3
uid-446,2
uid-447,2
uid-448,1
uid-449,1
uid-450,1
uid-451,2
uid-452,2
uid-453,2
uid-454,2
uid-455,2
uid-456,1
uid-457,1
uid-458,2
uid-459,3
uid-460,3
uid-461,1
uid-462,2
uid-463,2
uid-464,2
uid-465,3
uid-466,2
uid-467,1
uid-468,2
uid-469,1
uid-470,1
uid-471,3
uid-472,2
uid-473,3
uid-474,1
uid-475,2
uid-476,2
uid-477,2
uid-478,2
uid-479,2
uid-480,2
uid-481,1
uid-482,2
uid-483,3
uid-484,2
uid-485,3
uid-486,3
uid-487,3
uid-488,3
uid-489,2
uid-490,2
uid-491,3
uid-492,3
uid-493,2
uid-494,2
